site,block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes,variable1,day,type,full_name,seed_year,lat,long,elev_m
LV3,B3,D2-S2-1,6,C9,30,0.5,14,NA,1.8,9,0,OP,NA,0.344820862,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D2-S1-6,6,C9,31,0.77,9,NA,2.1,6,2,OS,NA,0.449372296,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D1-S1-1,6,C9,32,0.28,10,NA,1.5,5,2,BP,NA,0.900095655,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D1-S1-7,6,C9,33,0.52,12,NA,3.2,5,1,YP,NA,0.833442039,1,yellow toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S1-2,6,C9,34,0.58,9,NA,2.1,6,2,WP,NA,0.770617776,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D2-S1-1,6,C9,35,0.56,14,NA,1.6,5,2,YP,NA,NA,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B2,D2-S1-7,6,C9,36,0.18,8,NA,1.3,5,2,BP,NA,0.123379795,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S1-6,6,C9,37,0.44,9,NA,1.7,6,2,OP,NA,0.082841796,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D2-S2-2,6,C9,38,0.68,11,NA,2.6,6,2,GP,NA,0.833751402,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B2,D2-S1-6,6,C9,39,0.74,10,NA,1.3,7,2,BP,NA,0.314699885,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D1-S2-4,6,C9,40,0.74,15,NA,4.7,7,2,YP,NA,0.41881168,1,yellow toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D2-S2-1,6,C9,41,0.62,13,NA,1.9,6,2,GP,NA,0.138363296,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D2-S2-3,6,C9,42,0.11,7,NA,1,5,2,OS,NA,0.979687648,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S2-8,6,C9,43,0.28,8,NA,1.5,5,2,GP,NA,0.541172233,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D2-S1-7,6,C9,44,0.51,15,NA,4.3,5,2,OP,NA,0.01033108,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S1-4,6,C9,45,0.52,10,NA,2.1,6,2,OS,NA,0.216724975,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D1-S2-5,6,C9,46,0.57,12,NA,1.9,5,2,WP,NA,0.971261094,3,white toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D2-S1-3,6,C9,47,0.43,11,NA,3.3,5,1,OS,NA,NA,5,orange sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S1-9,6,C9,48,0.67,9,NA,2.1,7,2,OP,NA,0.311719338,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S2-9,6,C9,49,0.57,10,NA,2,8,2,BP,NA,0.442407446,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S1-1,6,C9,50,0.56,16,NA,7.4,6,2,GP,NA,0.758275682,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S2-3,6,C9,51,0.55,13,NA,3.5,5,2,OS,NA,0.840043047,5,orange sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D2-S1-6,6,C9,52,0.39,10,NA,1,5,2,OS,NA,0.298605185,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S1-1,6,C9,53,0.86,14,NA,2.6,7,2,WP,NA,0.333915495,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S2-3,6,C9,54,0.86,16,NA,4.4,7,2,GP,NA,0.989913495,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D2-S1-3,6,C9,55,0.44,11,NA,1.9,5,2,YP,NA,0.212554938,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D2-S1-3,6,C9,56,0.53,16,NA,3.5,6,1,GP,NA,0.291344073,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D1-S2-8,6,C9,57,0.59,10,NA,2.3,7,2,OP,NA,0.394529761,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-10,6,C9,58,0.29,9,NA,1.6,6,2,OP,NA,0.235540138,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S1-10,6,C9,59,0.52,12,NA,3.1,5,2,OS,NA,0.487908527,5,orange sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B1,D2-S2-6,6,C9,60,0.51,10,NA,1.3,4,2,OP,NA,0.144894166,2,orange toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B2,D2-S1-4,6,C9,61,0.62,10,NA,1.8,6,2,BP,NA,0.326454285,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S1-3,6,C9,62,0.6,8,NA,1.9,6,2,WP,NA,0.352186548,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S2-1,6,C9,63,0.7,10,NA,3,7,2,BP,NA,0.569409349,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S1-8,6,C9,64,0.33,9,NA,2,6,2,OP,NA,0.557554703,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S1-3,6,C9,65,0.32,11,NA,1.4,6,2,OS,NA,0.402299867,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D1-S2-1,6,C9,66,0.45,14,NA,2.1,7,1,WP,NA,0.613217015,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S1-9,6,C9,67,0.31,7,NA,1.1,4,2,OS,NA,0.628352958,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S1-10,6,C9,68,0.64,10,NA,2,5,2,WP,NA,0.429775644,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S1-3,6,C9,69,0.67,10,NA,1.7,6,2,WP,NA,0.248708069,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S1-1,6,C9,70,0.49,6,NA,1.1,5,2,OP,NA,0.698571792,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S2-3,6,C9,71,0.38,11,NA,1.5,6,2,BP,NA,0.550505694,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S2-1,6,C9,72,0.52,10,NA,1.1,5,2,WP,NA,0.173011447,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D1-S1-5,6,C9,73,0.63,19,NA,2.6,6,2,GP,NA,0.59306756,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D2-S1-7,6,C9,74,0.91,17,NA,2.1,6,2,WP,NA,0.032131333,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S2-7,6,C9,75,0.65,10,NA,2,7,2,BP,NA,0.222972309,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S2-6,6,C9,76,0.21,8,NA,0.8,5,0,BP,NA,0.987984484,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S1-5,6,C9,77,0.22,6,NA,0.8,4,0,WP,NA,0.671238041,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D1-S1-1,6,C9,78,0.32,9,NA,1.1,5,2,PS,NA,0.858545781,8,pink sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S1-8,6,C9,79,0.44,18,NA,4.6,7,1,GP,NA,0.233759925,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S2-5,6,C9,80,0.36,6,NA,1.4,4,2,NA,NA,0.185501669,NA,NA,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D1-S1-2,6,C9,81,0.75,11,NA,2,7,2,WP,NA,0.464633684,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S1-9,6,C9,82,0.45,13,NA,1.5,4,2,NA,NA,0.507616181,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S2-5,6,C9,83,0.7,15,NA,5.5,8,0,GP,NA,0.941322108,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D1-S2-6,6,C9,84,0.75,20,NA,3.2,6,2,GP,NA,0.180213924,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D2-S1-9,6,C9,85,0.29,15,NA,2.2,6,2,WP,NA,0.634189569,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S2-3,6,C9,86,0.7,12,NA,2.2,7,2,BP,NA,0.9436608,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D2-S1-2,6,C9,87,0.73,19,NA,2.8,6,2,BP,NA,0.20315816,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D1-S2-2,6,C9,88,0.5,15,NA,4.1,6,1,WP,NA,0.860697141,3,white toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D1-S1-4,6,C9,89,0.7,12,NA,2.9,7,0,BP,NA,0.942119191,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S1-8,6,C9,90,0.36,11,NA,2.4,6,2,WP,NA,0.066225645,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S1-8,6,C9,91,0.51,10,NA,1.6,5,2,OS,NA,0.936852305,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S1-5,6,C9,92,0.34,10,NA,1.7,7,2,BP,NA,0.325613693,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S1-4,6,C9,93,0.35,8,NA,1.1,7,2,OP,NA,0.148746506,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-1,6,C9,94,0.26,11,NA,1.6,6,2,OP,NA,0.740881166,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S1-6,6,C9,95,0.4,11,NA,2,6,2,OP,NA,0.154141275,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-7,6,C9,96,0.51,8,NA,1.5,6,2,OP,NA,0.7173555,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S1-1,6,C9,97,0.42,11,NA,1.1,4,2,WP,NA,0.986872929,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S2-4,6,C9,98,0.49,15,NA,2.6,6,2,OP,NA,0.586246225,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D1-S2-6,6,C10,1,0.42,13,NA,1.4,7,2,WP,NA,0.161977437,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S2-4,6,C10,2,0.32,8,NA,0.9,4,2,OS,NA,0.364228183,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S1-10,6,C10,3,0.46,11,NA,1.1,5,1,YP,NA,0.786853229,1,yellow toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S1-3,6,C10,4,0.36,9,NA,1.7,4,2,GP,NA,0.796373683,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S2-10,6,C10,5,0.33,14,NA,3.9,5,2,OP,NA,0.631672758,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S1-9,6,C10,6,0.53,12,NA,2.1,5,2,GP,NA,0.092589211,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D2-S1-1,6,C10,7,0.24,7,NA,0.6,4,0,OP,NA,0.275945468,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-5,6,C10,8,0.34,14,NA,2.1,6,2,YP,NA,0.009233279,1,yellow toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S2-4,6,C10,9,0.34,11,NA,1.5,7,2,WP,NA,0.085328974,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-2,6,C10,10,0.27,9,NA,2.2,6,2,OP,NA,0.417552072,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S2-2,6,C10,11,0.27,11,NA,2.9,6,2,OP,NA,0.567610032,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D1-S1-6,6,C10,12,0.38,11,NA,2.5,6,2,BP,NA,0.595580731,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D1-S1-7,6,C10,13,0.37,12,NA,2.4,5,2,GP,NA,0.678462586,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D2-S2-8,6,C10,14,0.42,10,NA,1.5,6,2,OP,NA,0.011103442,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D1-S2-7,6,C10,15,0.54,12,NA,2.3,7,2,WP,NA,0.778718953,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D2-S1-10,6,C10,16,0.52,9,NA,0.9,5,2,WP,NA,0.413875079,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D2-S1-5,6,C10,17,0.69,13,NA,2.2,6,2,WP,NA,0.668233156,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D2-S1-10,6,C10,18,0.51,15,NA,3.6,5,2,OS,NA,0.004458363,5,orange sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D2-S2-1,6,C10,19,0.31,12,NA,2.1,5,2,YP,NA,0.351857357,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D1-S2-8,6,C10,20,0.17,11,NA,1.6,5,1,OP,NA,0.426266896,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S1-6,6,C10,21,0.32,8,NA,1.2,4,2,OP,NA,0.550084552,2,orange toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D1-S2-10,6,C10,22,0.49,14,NA,3.4,6,2,GP,NA,0.898064834,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D1-S2-10,6,C10,23,0.36,8,NA,1,5,2,OS,NA,0.447424092,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D1-S2-6,6,C10,24,0.24,10,NA,1.7,5,2,WP,NA,0.824191682,3,white toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B2,D2-S2-4,6,C10,25,0.24,11,NA,2.1,6,2,WP,NA,0.911829704,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S2-6,6,C10,26,0.28,13,NA,4.1,5,2,OS,NA,0.446750776,5,orange sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S2-10,6,C10,28,0.21,8,NA,1.1,4,2,BP,NA,0.233522025,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D2-S2-5,6,C10,29,0.6,14,NA,3.1,6,2,GP,NA,0.176848083,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D1-S2-9,6,C10,30,0.33,15,NA,0.9,6,1,OP,NA,0.046305003,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S1-9,6,C10,31,0.32,10,NA,3,6,1,GP,NA,0.476238463,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S2-4,6,C10,32,0.44,10,NA,2.2,6,2,OP,NA,0.375073824,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S1-2,6,C10,33,0.28,10,NA,2,5,2,WP,NA,0.846146985,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S1-8,6,C10,34,0.48,11,NA,2.2,6,2,WP,NA,0.448761737,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S1-4,6,C10,35,0.2,10,NA,1.2,5,0,GP,NA,0.763310342,0,green toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S1-6,6,C10,36,0.52,14,NA,1.5,5,2,OP,NA,0.2256748,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D2-S2-4,6,C10,37,0.54,12,NA,1,5,2,PS,NA,0.205869962,8,pink sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S1-2,6,C10,38,0.58,13,NA,3.8,6,0,OP,NA,0.234024371,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D2-S1-2,6,C10,39,0.18,12,NA,3.5,5,2,BS,NA,0.416453504,6,blue sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D1-S2-2,6,C10,40,0.39,12,NA,4.5,6,2,GP,NA,0.995539038,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B2,D2-S1-4,6,C10,41,0.29,9,NA,0.9,4,2,BP,NA,0.35942166,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S1-1,6,C10,42,0.17,9,NA,1.6,5,2,OS,NA,0.628903615,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D2-S1-3,6,C10,43,0.57,12,NA,1.9,7,2,WP,NA,0.747436409,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S2-2,6,C10,44,0.39,13,NA,3,7,2,WP,NA,0.693160889,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S2-9,6,C10,45,0.36,11,NA,3,6,0,GP,NA,0.116895475,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S2-4,6,C10,46,0.36,9,NA,2.1,5,2,OS,NA,0.191228081,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S2-3,6,C10,47,0.28,10,NA,2.6,5,0,GP,NA,0.568914963,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D1-S2-7,6,C10,48,0.44,8,NA,1.7,6,2,OS,NA,0.465733797,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S2-1,6,C10,49,0.22,10,NA,1.1,6,2,OS,NA,0.834279197,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D1-S1-10,6,C10,50,0.79,17,NA,5.7,7,2,GP,NA,0.890368887,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D1-S2-9,6,C10,51,0.29,15,NA,1.3,6,2,OP,NA,0.148769392,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S2-2,6,C10,52,0.32,15,NA,2.5,5,2,YP,NA,0.572051958,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
