site,full_name,seed_year,lat,long,elev_m
TM2,Table Mountain 2,2018,39.59255,-121.55072,380
BHR,Ben Hur,2018,37.40985,-119.96458,510
DPR,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,Sequoia 3,2017,36.72109,-118.84933,2350
KC2,Kings Canyon 2,2017,36.82301,-118.83542,930
Y11,Yosemite 11,2019,37.93844,-119.23157,2880
IHL,Iowa Hill,2018,39.09332,-120.92114,460
WVL,Weaverville,2014,40.74084,-123.00364,750
CP2,Carson's Pass 2,2018,38.66169,-120.13065,2250
YO1,Yosemite 1,2017,37.66374,-119.62484,2130
WL2,Wright's Lake 2,2017,38.8263,-120.25242,2030