block,ID,trt,rack,variable1
SQ3 B2,D1-S1-6,6,C11,0.295548761
SQ3 B3,D1-S2-5,6,C11,0.256791886
SQ3 B1,D1-S1-9,6,C11,0.833891281
SQ3 B2,D1-S1-1,6,C11,0.446414688
DPR B1,D1-S2-5,6,C11,0.714632928
LV3 B1,D1-S2-3,6,C11,0.330940169
WL1 B1,D2-S1-4,6,C11,0.301758782
DPR B1,D1-S1-6,6,C11,0.50299958
LV3 B1,D1-S1-7,6,C11,0.323709362
SQ3 B2,D2-S1-3,6,C11,0.350398748
SQ3 B1,D1-S1-4,6,C11,0.238311361
WL1 B1,D2-S2-3,6,C11,0.686261925
WL1 B2,D1-S2-1,6,C11,0.166438682
SQ3 B2,D1-S1-4,6,C11,0.042146863
SQ3 B3,D1-S2-10,6,C11,0.45536884
LV3 B1,D1-S2-1,6,C11,0.437578525
DPR B2,D1-S1-1,6,C11,0.470140437
SQ3 B1,D1-S2-8,6,C11,0.618717291
WL1 B2,D1-S2-5,6,C11,0.879014164
LV3 B1,D2-S2-3,6,C11,0.302098525
LV3 B1,D1-S1-2,6,C11,0.370592205
DPR B1,D1-S2-1,6,C11,0.795661786
SQ3 B1,D1-S1-6,6,C11,0.784504347
LV3 B3,D2-S1-2,6,C11,0.96424926
LV3 B2,D2-S1-8,6,C11,0.297745748
SQ3 B2,D1-S1-2,6,C11,0.359019665
SQ3 B3,D1-S1-5,6,C11,0.637050124
DPR B1,D1-S2-7,6,C11,0.546499846
DPR B2,D2-S2-8,6,C11,0.169527507
LV3 B2,D1-S1-9,6,C11,0.712992362
LV3 B1,D2-S1-4,6,C11,0.333302272
WL1 B2,D1-S1-7,6,C11,0.09980198
LV3 B1,D1-S2-2,6,C11,0.347721023
SQ3 B3,D2-S1-2,6,C11,0.365243665
LV3 B1,D1-S1-9,6,C11,0.277735034
DPR B2,D2-S1-4,6,C11,0.032017906
WL1 B1,D2-S1-9,6,C11,0.737638683
SQ3 B3,D1-S1-2,6,C11,0.092909831
DPR B2,D1-S1-10,6,C11,0.369090078
WL1 B2,D2-S2-9,6,C11,0.277186003
WL1 B2,D1-S1-3,6,C11,0.384838021
DPR B2,D1-S2-8,6,C11,0.208467665
WL1 B1,D1-S1-2,6,C11,0.533492372
DPR B1,D1-S1-8,6,C11,0.195531796
LV3 B2,D2-S2-6,6,C11,0.073716687
LV3 B3,D1-S2-3,6,C11,0.182714008
LV3 B1,D1-S2-4,6,C11,0.213089481
LV3 B1,D1-S1-5,6,C11,0.400233602
SQ3 B2,D1-S1-7,6,C11,0.126448825
WL1 B2,D2-S2-10,6,C11,0.086670603
SQ3 B3,D2-S1-4,6,C11,0.164774504
LV3 B1,D1-S1-1,6,C11,0.470561487
DPR B2,D2-S1-6,6,C11,0.544161761
LV3 B1,D2-S1-1,6,C11,0.359585024
DPR B2,D2-S1-8,6,C11,0.351163404
LV3 B3,D1-S1-1,6,C11,0.894008796
DPR B1,D1-S1-4,6,C11,0.809809266
DPR B2,D1-S1-3,6,C11,0.486689847
LV3 B3,D1-S1-3,6,C11,0.193069273
DPR B1,D1-S1-7,6,C11,0.31514296
WL1 B1,D2-S2-4,6,C11,0.162273096
SQ3 B3,D2-S2-8,6,C11,0.455457824
SQ3 B1,D1-S1-7,6,C11,0.59933726
WL1 B1,D2-S1-8,6,C11,0.937895975
SQ3 B3,D2-S1-10,6,C11,0.415187453
LV3 B2,D1-S2-7,6,C11,0.131489272
LV3 B2,D1-S1-7,6,C11,0.194913549
LV3 B3,D2-S1-7,6,C11,0.278627846
LV3 B3,D1-S2-5,6,C11,0.384212014
LV3 B2,D1-S2-5,6,C11,0.32002819
DPR B1,D1-S1-9,6,C11,0.544037329
DPR B2,D2-S1-1,6,C11,0.319870433
LV3 B3,D2-S2-5,6,C11,0.294954438
WL1 B2,D1-S2-3,6,C11,0.889445133
LV3 B2,D1-S2-9,6,C11,0.397570379
LV3 B1,D2-S2-9,6,C11,0.299764993
LV3 B2,D2-S1-7,6,C11,0.884104723
DPR B2,D1-S2-1,6,C11,0.996236018
WL1 B1,D1-S2-9,6,C11,0.793735481
WL1 B2,D1-S2-6,6,C11,0.324321689
LV3 B2,D1-S1-5,6,C11,0.697357749
DPR B1,D2-S1-4,6,C11,0.509675721
WL1 B1,D1-S1-5,6,C11,0.52580236
SQ3 B1,D1-S2-2,6,C11,0.723745051
WL1 B1,D2-S1-7,6,C11,0.607981803
DPR B2,D1-S1-4,6,C12,0.688202534
DPR B1,D2-S2-6,6,C12,0.199904133
WL1 B2,D1-S2-7,6,C12,0.061427375
SQ3 B2,D1-S1-8,6,C12,0.661746607
WL1 B1,D2-S1-6,6,C12,0.272474324
SQ3 B1,D1-S2-7,6,C12,0.748369639
WL1 B1,D2-S2-5,6,C12,0.500989581
WL1 B1,D2-S1-2,6,C12,0.633188044
DPR B2,D1-S1-5,6,C12,0.762062001
SQ3 B3,D2-S1-5,6,C12,0.183830979
SQ3 B3,D2-S2-7,6,C12,0.183197837
LV3 B2,D1-S2-3,6,C12,0.006008351
DPR B2,D1-S1-6,6,C12,0.463779553
SQ3 B2,D1-S2-2,6,C12,0.540574934
SQ3 B3,D2-S2-5,6,C12,0.344482179
WL1 B1,D1-S2-3,6,C12,0.091627301
LV3 B3,D2-S1-4,6,C12,0.87822063
LV3 B2,D2-S2-9,6,C12,0.372779657
SQ3 B1,D1-S1-3,6,C12,0.618886188
SQ3 B1,D2-S2-6,6,C12,0.134061241
LV3 B1,D2-S1-7,6,C12,0.10348359
SQ3 B1,D2-S2-9,6,C12,0.605490762
SQ3 B1,D2-S2-3,6,C12,0.498065974
LV3 B3,D1-S2-6,6,C12,0.76406756
SQ3 B2,D1-S2-8,6,C12,0.093777988
SQ3 B2,D1-S2-9,6,C12,0.976906136
DPR B2,D2-S2-7,6,C12,0.798587804
DPR B1,D2-S1-6,6,C12,0.559927259
LV3 B1,D2-S1-5,6,C12,0.227697134
WL1 B2,D2-S1-2,6,C12,0.094138975
LV3 B1,D2-S1-6,6,C12,0.11798203
WL1 B2,D1-S1-2,6,C12,0.003271303
SQ3 B2,D1-S1-3,6,C12,0.497289761
WL1 B1,D1-S2-1,6,C12,0.31090186
WL1 B1,D1-S1-10,6,C12,0.605861501
LV3 B3,D2-S2-3,6,C12,0.295743425
SQ3 B2,D2-S1-5,6,C12,0.626200787
WL1 B2,D2-S2-2,6,C12,0.973354199
DPR B2,D1-S2-5,6,C12,0.631387155
SQ3 B1,D1-S2-10,6,C12,0.552708751
LV3 B2,D1-S2-6,6,C12,0.087476547
SQ3 B1,D2-S2-4,6,C12,0.279012467
SQ3 B3,D2-S2-1,6,C12,0.10868515
WL1 B2,D2-S1-4,6,C12,0.703738303
LV3 B3,D1-S2-1,6,C12,0.742397465
WL1 B2,D1-S1-6,6,C12,0.741669698
SQ3 B1,D1-S1-10,6,C12,0.201249324
WL1 B2,D2-S2-5,6,C12,0.65423264
LV3 B3,D1-S1-8,6,C12,0.858041105
LV3 B3,D1-S1-7,6,C12,0.963149923
SQ3 B2,D1-S2-7,6,C12,0.807522966
DPR B2,D2-S2-10,6,C12,0.291705469
SQ3 B2,D1-S2-1,6,C12,0.759546865
SQ3 B1,D2-S1-4,6,C12,0.64373679
WL1 B1,D1-S2-7,6,C12,0.078053976
SQ3 B1,D2-S2-8,6,C12,0.280256236
DPR B1,D2-S2-1,6,C12,0.142280236
WL1 B1,D1-S2-4,6,C12,0.762104207
SQ3 B3,D2-S1-9,6,C12,0.113335948
DPR B2,D1-S2-9,6,C12,0.580321231
WL1 B1,D1-S1-4,6,C12,0.604086638
LV3 B1,D1-S2-5,6,C12,0.437390134
SQ3 B2,D1-S2-10,6,C12,0.998267088
LV3 B1,D1-S1-6,6,C12,0.377232733
LV3 B1,D2-S1-10,6,C12,0.035177263
LV3 B2,D1-S2-1,6,C12,0.781463059
DPR B1,D1-S1-5,6,C12,0.019204345
DPR B1,D1-S2-8,6,C12,0.078151446
DPR B1,D2-S1-9,6,C12,0.803283049
LV3 B3,D1-S2-2,6,C12,0.36903965
WL1 B1,D2-S1-5,6,C12,0.15596506
DPR B1,D1-S1-2,6,C12,0.426638585
WL1 B2,D2-S1-1,6,C12,0.75298225
SQ3 B1,D1-S1-8,6,C12,0.069485955
WL1 B2,D2-S2-4,6,C12,0.941278213
WL1 B2,D1-S2-8,6,C12,0.420249268
DPR B1,D1-S2-9,6,C12,0.294826406
SQ3 B2,D2-S2-2,6,C12,0.654893851
LV3 B2,D2-S1-1,6,C12,0.831039436
SQ3 B2,D1-S2-6,6,C12,0.567022507
WL1 B2,D2-S2-7,6,C12,0.624958498
WL1 B2,D2-S2-6,6,C12,0.732504425
WL1 B1,D1-S2-8,6,C12,0.249272239
SQ3 B3,D1-S1-7,6,C12,0.857501256
SQ3 B3,D1-S1-9,6,C12,0.126531968
SQ3 B1,D2-S2-1,6,C12,0.869398983
LV3 B2,D2-S2-10,6,C12,0.195842536
SQ3 B3,D2-S2-9,6,C12,0.747014614
DPR B1,D2-S1-5,6,C12,0.088381967
DPR B1,D1-S1-3,6,C12,0.169763167
SQ3 B2,D2-S2-3,6,C12,0.52041423
DPR B2,D1-S2-7,6,C12,0.630140902
WL1 B2,D1-S1-8,6,C12,0.584855035
LV3 B1,D1-S2-8,6,C12,0.203068817
WL1 B2,D1-S2-4,6,C12,0.225795858
SQ3 B1,D2-S2-2,6,C12,0.850560683
WL1 B2,D1-S2-9,6,C12,0.806341394
WL1 B1,D1-S1-1,6,C13,0.041491972
DPR B1,D2-S2-8,6,C13,0.997442373
WL1 B2,D1-S1-4,6,C13,0.04314328
LV3 B1,D1-S1-10,6,C13,0.7132335
LV3 B3,D1-S1-5,6,C13,0.243918056
LV3 B2,D1-S1-6,6,C13,0.036581089
DPR B2,D2-S1-5,6,C13,0.897064397
LV3 B3,D2-S2-1,6,C9,0.344820862
LV3 B3,D2-S1-6,6,C9,0.449372296
SQ3 B1,D1-S1-1,6,C9,0.900095655
DPR B2,D1-S1-7,6,C9,0.833442039
LV3 B1,D2-S1-2,6,C9,0.770617776
SQ3 B2,D2-S1-7,6,C9,0.123379795
SQ3 B3,D1-S1-6,6,C9,0.082841796
WL1 B1,D2-S2-2,6,C9,0.833751402
SQ3 B2,D2-S1-6,6,C9,0.314699885
DPR B2,D1-S2-4,6,C9,0.41881168
WL1 B2,D2-S2-1,6,C9,0.138363296
SQ3 B3,D2-S2-3,6,C9,0.979687648
WL1 B2,D2-S2-8,6,C9,0.541172233
DPR B2,D2-S1-7,6,C9,0.01033108
LV3 B3,D1-S1-4,6,C9,0.216724975
WL1 B1,D1-S2-5,6,C9,0.971261094
LV3 B1,D2-S1-9,6,C9,0.311719338
LV3 B1,D1-S2-9,6,C9,0.442407446
DPR B1,D1-S1-1,6,C9,0.758275682
DPR B1,D2-S2-3,6,C9,0.840043047
SQ3 B3,D2-S1-6,6,C9,0.298605185
LV3 B2,D1-S1-1,6,C9,0.333915495
DPR B1,D1-S2-3,6,C9,0.989913495
WL1 B1,D2-S1-3,6,C9,0.212554938
DPR B2,D2-S1-3,6,C9,0.291344073
LV3 B2,D1-S2-8,6,C9,0.394529761
LV3 B1,D2-S2-10,6,C9,0.235540138
WL1 B2,D1-S1-10,6,C9,0.487908527
WL1 B1,D2-S2-6,6,C9,0.144894166
LV3 B2,D2-S1-4,6,C9,0.326454285
LV3 B1,D2-S1-3,6,C9,0.352186548
LV3 B2,D2-S2-1,6,C9,0.569409349
SQ3 B3,D1-S1-8,6,C9,0.557554703
LV3 B2,D2-S1-3,6,C9,0.402299867
SQ3 B1,D1-S2-1,6,C9,0.613217015
SQ3 B2,D2-S1-9,6,C9,0.628352958
LV3 B2,D2-S1-10,6,C9,0.429775644
LV3 B1,D1-S1-3,6,C9,0.248708069
SQ3 B3,D1-S1-1,6,C9,0.698571792
SQ3 B3,D1-S2-3,6,C9,0.550505694
SQ3 B2,D2-S2-1,6,C9,0.173011447
WL1 B2,D1-S1-5,6,C9,0.59306756
SQ3 B1,D2-S1-7,6,C9,0.032131333
LV3 B2,D2-S2-7,6,C9,0.222972309
SQ3 B3,D2-S2-6,6,C9,0.987984484
SQ3 B1,D2-S1-5,6,C9,0.671238041
WL1 B2,D1-S1-1,6,C9,0.858545781
DPR B2,D1-S1-8,6,C9,0.233759925
LV3 B1,D2-S2-5,6,C9,0.185501669
LV3 B3,D1-S1-2,6,C9,0.464633684
SQ3 B2,D1-S1-9,6,C9,0.507616181
DPR B2,D2-S2-5,6,C9,0.941322108
DPR B2,D1-S2-6,6,C9,0.180213924
SQ3 B1,D2-S1-9,6,C9,0.634189569
LV3 B2,D2-S2-3,6,C9,0.9436608
SQ3 B1,D2-S1-2,6,C9,0.20315816
DPR B2,D1-S2-2,6,C9,0.860697141
LV3 B2,D1-S1-4,6,C9,0.942119191
LV3 B1,D2-S1-8,6,C9,0.066225645
LV3 B2,D1-S1-8,6,C9,0.936852305
LV3 B2,D2-S1-5,6,C9,0.325613693
LV3 B1,D1-S1-4,6,C9,0.148746506
LV3 B1,D2-S2-1,6,C9,0.740881166
LV3 B2,D2-S1-6,6,C9,0.154141275
LV3 B1,D2-S2-7,6,C9,0.7173555
SQ3 B3,D2-S1-1,6,C9,0.986872929
DPR B1,D2-S2-4,6,C9,0.586246225
SQ3 B3,D1-S2-6,6,C10,0.161977437
SQ3 B2,D1-S2-4,6,C10,0.364228183
SQ3 B2,D2-S1-10,6,C10,0.786853229
WL1 B1,D1-S1-3,6,C10,0.796373683
DPR B2,D1-S2-10,6,C10,0.631672758
WL1 B1,D1-S1-9,6,C10,0.092589211
SQ3 B1,D2-S1-1,6,C10,0.275945468
SQ3 B1,D2-S2-5,6,C10,0.009233279
LV3 B2,D1-S2-4,6,C10,0.085328974
LV3 B1,D2-S2-2,6,C10,0.417552072
LV3 B2,D2-S2-2,6,C10,0.567610032
LV3 B3,D1-S1-6,6,C10,0.595580731
WL1 B1,D1-S1-7,6,C10,0.678462586
LV3 B1,D2-S2-8,6,C10,0.011103442
LV3 B3,D1-S2-7,6,C10,0.778718953
SQ3 B1,D2-S1-10,6,C10,0.413875079
LV3 B3,D2-S1-5,6,C10,0.668233156
DPR B1,D2-S1-10,6,C10,0.004458363
WL1 B1,D2-S2-1,6,C10,0.351857357
SQ3 B3,D1-S2-8,6,C10,0.426266896
WL1 B1,D1-S1-6,6,C10,0.550084552
DPR B1,D1-S2-10,6,C10,0.898064834
LV3 B2,D1-S2-10,6,C10,0.447424092
WL1 B1,D1-S2-6,6,C10,0.824191682
LV3 B2,D2-S2-4,6,C10,0.911829704
DPR B1,D1-S2-6,6,C10,0.446750776
LV3 B3,D2-S2-2,6,C10,0.755331775
WL1 B1,D1-S2-10,6,C10,0.233522025
DPR B1,D2-S2-5,6,C10,0.176848083
SQ3 B3,D1-S2-9,6,C10,0.046305003
DPR B2,D2-S1-9,6,C10,0.476238463
LV3 B1,D2-S2-4,6,C10,0.375073824
LV3 B2,D1-S1-2,6,C10,0.846146985
LV3 B1,D1-S1-8,6,C10,0.448761737
SQ3 B3,D1-S1-4,6,C10,0.763310342
SQ3 B1,D2-S1-6,6,C10,0.2256748
SQ3 B3,D2-S2-4,6,C10,0.205869962
DPR B1,D2-S1-2,6,C10,0.234024371
DPR B2,D2-S1-2,6,C10,0.416453504
DPR B1,D1-S2-2,6,C10,0.995539038
SQ3 B2,D2-S1-4,6,C10,0.35942166
SQ3 B2,D2-S1-1,6,C10,0.628903615
LV3 B3,D2-S1-3,6,C10,0.747436409
LV3 B2,D1-S2-2,6,C10,0.693160889
DPR B2,D2-S2-9,6,C10,0.116895475
LV3 B3,D1-S2-4,6,C10,0.191228081
DPR B2,D2-S2-3,6,C10,0.568914963
LV3 B1,D1-S2-7,6,C10,0.465733797
SQ3 B3,D1-S2-1,6,C10,0.834279197
DPR B1,D1-S1-10,6,C10,0.890368887
SQ3 B1,D1-S2-9,6,C10,0.148769392
WL1 B1,D1-S2-2,6,C10,0.572051958
WL1 B2,D1-S2-2,6,C10,0.45109922
SQ3 B3,D2-S2-2,6,C10,0.664792442
LV3 B3,D2-S2-4,6,C10,0.892848695
DPR B1,D2-S1-8,6,C10,0.828738461
DPR B1,D2-S2-2,6,C10,0.450821964
SQ3 B3,D2-S1-3,6,C10,0.396109066
DPR B2,D1-S1-2,6,C10,0.374296301
DPR B1,D2-S2-9,6,C10,0.096038251
WL1 B2,D2-S1-3,6,C10,0.724891691
SQ3 B2,D2-S1-2,6,C10,0.336841737
LV3 B2,D2-S2-5,6,C10,0.359614684
SQ3 B1,D1-S2-5,6,C10,0.188529185
DPR B1,D2-S2-10,6,C10,0.519279298
DPR B2,D1-S2-3,6,C10,0.629279729
DPR B2,D1-S1-9,6,C10,0.720623314
LV3 B3,D2-S1-1,6,C10,0.498308095
DPR B1,D2-S2-7,6,C10,0.22016362
DPR B1,D2-S1-1,6,C10,0.421205426
DPR B2,D2-S2-2,6,C10,0.930429337
SQ3 B1,D1-S2-4,6,C10,0.619629511
DPR B2,D2-S2-1,6,C10,0.558253068
WL1 B2,D1-S1-9,6,C10,0.627924212
DPR B2,D2-S1-10,6,C10,0.926981793
LV3 B2,D1-S1-3,6,C10,0.426702895
SQ3 B3,D2-S1-7,6,C10,0.670385461
SQ3 B1,D2-S2-10,6,C10,0.357230269
SQ3 B3,D1-S1-3,6,C10,0.771432128
SQ3 B3,D1-S1-10,6,C10,0.27929043
SQ3 B2,D2-S1-8,6,C10,0.27628737
LV3 B2,D2-S1-2,6,C10,0.644512929
LV3 B3,D2-S1-8,6,C10,0.470669786
SQ3 B3,D1-S2-4,6,C10,0.69116158
DPR B2,D2-S2-4,6,C10,0.570394692
DPR B1,D2-S1-7,6,C10,0.912881229
DPR B2,D2-S2-6,6,C10,0.965827141
WL1 B1,D1-S1-8,6,C10,0.982010675
SQ3 B1,D2-S1-8,6,C10,0.474810044
SQ3 B1,D2-S2-7,6,C10,0.847415948
SQ3 B2,D1-S2-3,6,C10,0.757242336
LV3 B1,D1-S2-6,6,C10,0.118818538
WL1 B2,D1-S2-10,6,C10,0.099074679
LV3 B1,D2-S2-6,6,C10,0.955347182
SQ3 B3,D2-S1-8,6,C10,0.565441947
SQ3 B1,D1-S2-6,6,C10,0.815846156
SQ3 B2,D1-S2-5,6,C10,0.791212047
WL1 B2,D2-S1-5,6,C10,0.307345992